almaMmsId	rpbId	hbzId	zdbId
990120064570206441	RPB036t031442	2110241-7	HT013684632
990120617670206441	RPB036t031443	2114587-8	HT013740626
990114170300206441	RPB036t031471	2051593-5	HT013090515
990118971070206441	RPB036t031473	2099401-1	HT013573944
990117836030206441	RPB036t031502	2088550-7	HT013459353
990119233860206441	RPB036t031503	2102645-2	HT013600541
990118184290206441	RPB036t031524	2091736-3	HT013494754
990119235760206441	RPB036t031525	2102841-2	HT013600731
990118007690206441	RPB036t031526	2090651-1	HT013476811
990118884730206441	RPB036t031527	2097645-8	HT013565213
990121513410206441	RPB036t031543	2124363-3	HT013831240
990120794720206441	RPB036t031653	2116523-3	HT013758527
990120006110206441	RPB036t031654	2109330-1	HT013678727
990119911680206441	RPB036t031680	2107403-3	HT013669185
990121361980206441	RPB036t031709	2121564-9	HT013815926
990121361970206441	RPB036t031710	2121563-7	HT013815925
990119183710206441	RPB036t031738	2101777-3	HT013595472
990121107440206441	RPB036t031739	2119117-7	HT013790164
990121107330206441	RPB036t031740	2119106-2	HT013790153
990108709550206441	RPB036t040082	1480500-5	HT012718402
990106860230206441	RPB036t040090	1222190-9	HT012533470
990124377510206441	RPB036t040217	2130595-X	HT013889469
990107596850206441	RPB036t040226	1334405-5	HT012607132
990124662330206441	RPB036t040227	2133821-8	HT013918265
990056260990206441	RPB036t040265	1314616-6	HT007194557
990108877930206441	RPB036t040266	1500491-0	HT012735240
990108877690206441	RPB036t040267	1500465-X	HT012735216
990101714090206441	RPB036t040301	2000393-6	HT012018838
990056056330206441	RPB036t040319	1135426-4	HT007057048
990106204150206441	RPB036t040320	1136640-0	HT012467862
990056495770206441	RPB036t040321	1389595-3	HT008354985
990107457530206441	RPB036t040339	1314855-2	HT012593200
990124943660206441	RPB036t040413	2136928-8	HT013946749
990124938950206441	RPB036t040466	2136452-7	HT013946278
990124945490206441	RPB036t040467	2137112-X	HT013946932
990124946440206441	RPB036t040468	2137212-3	HT013947027
990124945200206441	RPB036t040469	2137083-7	HT013946903
990124943610206441	RPB036t040470	2136923-9	HT013946744
990124945130206441	RPB036t040471	2137076-X	HT013946896
990108037670206441	RPB036t040472	1394410-1	HT012651214
990107396870206441	RPB036t040473	1307119-1	HT012587134
990107631770206441	RPB036t040474	1339048-X	HT012610624
990124649350206441	RPB036t040475	2132474-8	HT013916967
990121876610206441	RPB036t040476	2128710-7	HT013867959
990107682660206441	RPB036t040478	1345515-1	HT012615713
990120001290206441	RPB036t040489	2108835-4	HT013678245
990120544680206441	RPB036t040491	2113923-4	HT013733246
990119468860206441	RPB036t040539	2104692-X	HT013624312
990119026860206441	RPB036t040541	2100044-X	HT013579591
990117999310206441	RPB036t040542	2089790-X	HT013475973
990124292420206441	RPB036t040607	2129586-4	HT013880874
990055825030206441	RPB036t040608	982791-2	HT007029607
990055639650206441	RPB036t040609	725939-6	HT007006404
990119913090206441	RPB036t040610	2107547-5	HT013669326
990124880960206441	RPB036t040612		HT013940392
990125439460206441	RPB036t040613	2142655-7	HT013996868
990101937400206441	RPB036t040614	29074-9	HT012041187
990107592000206441	RPB036t040615	1333729-4	HT012606647
990107591900206441	RPB036t040616	1333719-1	HT012606637
990105176560206441	RPB036t040648	995505-7	HT012365103
990118811100206441	RPB036t040649	2096584-9	HT013557770
990119552350206441	RPB036t040650	2105208-6	HT013632773
990108742290206441	RPB036t040651	1484457-6	HT012721676
990117554850206441	RPB036t040653	2086410-3	HT013432256
990124377680206441	RPB036t040654	2130612-6	HT013889486
990114418810206441	RPB036t040721	2054402-9	HT013115541
990120197040206441	RPB036t040780	2111266-6	HT013698015
990124662070206441	RPB036t040781	2133795-0	HT013918239
990114420740206441	RPB036t040782	2054598-8	HT013115734
990118973730206441	RPB036t040783	2099672-X	HT013574210
990055739020206441	RPB036t040784	840816-6	HT007019174
990119999770206441	RPB036t040785	2108683-7	HT013678093
990113600910206441	RPB036t040820	2037855-5	HT013033205
990114419090206441	RPB036t040822	2054432-7	HT013115569
990120137680206441	RPB036t040823	2110544-3	HT013692027
990125265760206441	RPB036t040884	2141119-0	HT013979305
990108875360206441	RPB036t040899	1500188-X	HT012734983
990124662290206441	RPB036t040900	2133817-6	HT013918261
990126385520206441	RPB036t040918	2146024-3	HT014026357
990125269200206441	RPB036t040919	2141466-X	HT013979649
990124374520206441	RPB036t040920	2130290-X	HT013889170
990121052620206441	RPB036t040921	2118773-3	HT013784630
990129082420206441	RPB036t040922	2146646-4	HT014038675
990124650960206441	RPB036t040923	2132637-X	HT013917128
990121112350206441	RPB036t040924	2119613-8	HT013790655
990127073960206441	RPB036t040926	2146272-0	HT014033209
990131165930206441	RPB036t040928	2147214-2	HT014055160
990119467750206441	RPB036t040929	2104581-1	HT013624201
990054345500206441	RPB036t041034	635222-4	HT003496803
990132722830206441	RPB036t041044	2151408-2	HT014141262
990118008780206441	RPB036t041057	2090763-1	HT013476920
990132920460206441	RPB036t041067	2151398-3	HT014161242
990129086740206441	RPB036t041092	2147092-3	HT014039107
990125317770206441	RPB036t041121	2141831-7	HT013984559
990107440550206441	RPB036t041266	1312699-4	HT012591502
990056252360206441	RPB036t041267	1308461-6	HT007193607
990113101020206441	RPB036t041268	2006756-2	HT012983038
990056511420206441	RPB036t041269	1427819-4	HT008492558
990132843630206441	RPB036t041296	2149655-9	HT014153493
990056425660206441	RPB036t041375	1396006-4	HT007719628
990119314000206441	RPB036t041376	2103639-1	HT013608648
990133027760206441	RPB036t041377	2159030-8	HT014172030
990113684970206441	RPB036t041378	2046537-3	HT013041611
