almaMmsId	hbzId	zdbId
990102457270206441; 990052923110206441	HT002158321; HT002158321	187421-4
990102464800206441; 990206172130206441	188977-1	HT012093927; HT012093927
990102469200206441; 990204601250206441	189930-2	HT012094367; HT012094367
990102475850206441; 990052787740206441	191168-5	HT012095032; HT012095032
990366242060206441; 990053781130206441	HT011183873; HT011183873	191191-0
990053783830206441; 990217524060206441	194368-6	HT011184163; HT011184163
990210418340206441; 990102496600206441	HT012097107; HT012097107	194901-9
990179013290206441; 990102522160206441	HT012099663; HT012099663	198795-1
990113130040206441; 990181460170206441	2009802-9	HT012985940; HT012985940
990228194530206441; 990113164210206441	2013394-7	HT012989357; HT012989357
990197495730206441; 990113329250206441	HT013005963; HT013005963	2019798-6
99374608227406441; 990054801490206441	202325-8	HT006906631; HT006906631
990102528690206441; 990177543130206441	202350-7	HT012100316; HT012100316
990113455990206441; 990180901570206441	2027637-0	HT013018676; HT013018676
990188402310206441; 990113501220206441	HT013023209; HT013023209	2031272-6
990193128520206441; 990113541690206441	HT013027270; HT013027270	2034201-9
990159316030206441; 990113643100206441	HT013037424; HT013037424	2042214-3
990054066380206441; 990223466280206441	204427-4	HT001373313; HT001373313
990177792390206441; 990113284180206441	HT013001436; HT013001436	2047383-7
990118079820206441; 990054460200206441	HT005060662; HT005060662	205121-7
990195164280206441; 990114174030206441	HT013090888; HT013090888	2051979-5
990114290840206441; 990205353780206441	2053805-4	HT013102677; HT013102677
990115127090206441; 990188399760206441	2060983-8	HT013186936; HT013186936
990228568830206441; 990115346080206441	HT013209012; HT013209012	2062259-4
990210362100206441; 990115348050206441	HT013209209; HT013209209	2062459-1
990182384000206441; 990116300860206441	HT013305381; HT013305381	2074518-7
990187543010206441; 990116948780206441	HT013370955; HT013370955	2080402-7
990117331270206441; 99374990582306441	2084172-3	HT013409677; HT013409677
990202669670206441; 990118334340206441	HT013509473; HT013509473	2093233-9
990119386120206441; 990156767010206441	2103863-6	HT013615948; HT013615948
990159427230206441; 990119467960206441	HT013624222; HT013624222	2104602-5
990191424840206441; 990119554770206441	HT013633015; HT013633015	2105450-2
990120062870206441; 990219298780206441	2110070-6	HT013684462; HT013684462
990120065510206441; 990182818620206441	2110337-9	HT013684726; HT013684726
990120618020206441; 990190904220206441	2114622-6	HT013740661; HT013740661
990120790310206441; 990194762950206441	2116073-9	HT013758086; HT013758086
990193909660206441; 990121043250206441	HT013783693; HT013783693	2117828-8
990228722640206441; 990121362300206441	HT013815958; HT013815958	2121596-0
990121511680206441; 990188901020206441	2124189-2	HT013831067; HT013831067
990121512210206441; 990198528230206441	2124243-4	HT013831120; HT013831120
990177672770206441; 990121796270206441	HT013859837; HT013859837	2127075-2
990121944600206441; 990220513910206441	2129421-5	HT013874836; HT013874836
990102548170206441; 990208849250206441	213036-1	HT012102264; HT012102264
990124376580206441; 990227383810206441	2130498-1	HT013889376; HT013889376
990124803230206441; 990211159380206441	2135448-0	HT013932537; HT013932537
990191523060206441; 990124936970206441	HT013946080; HT013946080	2136248-8
990054837170206441; 990171127670206441	213943-1	HT006911832; HT006911832
990182553960206441; 990125253810206441	HT013978110; HT013978110	2139900-1
990125256910206441; 990218259480206441	2140211-5	HT013978420; HT013978420
990191927220206441; 990125257180206441	HT013978447; HT013978447	2140239-5
990125266440206441; 990182362550206441	2141187-6	HT013979373; HT013979373
990125318250206441; 990180601760206441	2141879-2	HT013984607; HT013984607
990125320200206441; 990190362050206441	2142078-6	HT013984802; HT013984802
990126240380206441; 990210009600206441	2143859-6	HT014011683; HT014011683
990131937300206441; 990170808490206441	2149210-4	HT014061667; HT014061667
990132863020206441; 990219695280206441	2150299-7	HT014155445; HT014155445
990054841690206441; 990220365750206441	215250-2	HT006912420; HT006912420
990209727090206441; 990132986220206441	HT014167865; HT014167865	2155446-8
990133009910206441; 990178952020206441	2157106-5	HT014170245; HT014170245
990219930970206441; 990133041220206441	HT014173376; HT014173376	2160490-3
990182430380206441; 990133046300206441	HT014173884; HT014173884	2161042-3
990368122120206441; 990133048440206441	HT014174098; HT014174098	2161285-7
990206029060206441; 990133058840206441	HT014175138; HT014175138	2162406-9
990133139500206441; 990178063730206441	2165687-3	HT014183262; HT014183262
990177666660206441; 990133143770206441	HT014183689; HT014183689	2166120-0
990171418760206441; 990133197990206441	HT014189204; HT014189204	2166301-4
990133203000206441; 990183208090206441	2166832-2	HT014189705; HT014189705
990187240990206441; 990133204940206441	HT014189899; HT014189899	2167042-0
990186943350206441; 990133205710206441	HT014189976; HT014189976	2167121-7
990228754090206441; 990133278540206441	HT014197379; HT014197379	2167815-7
990133351620206441; 990186917140206441	2168670-1	HT014204778; HT014204778
990133485390206441; 990186714840206441	2169571-4	HT014218324; HT014218324
990133487860206441; 990206607710206441	2169838-7	HT014218571; HT014218571
990207780700206441; 990133491640206441	HT014218949; HT014218949	2170232-9
990133554010206441; 990193430300206441	2170537-9	HT014225243; HT014225243
990133555330206441; 990187077100206441	2170679-7	HT014225375; HT014225375
990133924330206441; 990206716260206441	2174500-6	HT014262712; HT014262712
990164498440206441; 990133997420206441	HT014270128; HT014270128	2175340-4
990187791870206441; 990134065170206441	HT014276993; HT014276993	2176594-7
990217851700206441; 990134219950206441	HT014292676; HT014292676	2178393-7
990181459730206441; 990134446750206441	HT014315607; HT014315607	2180476-X
990134512330206441; 990364782200206441	2181614-1	HT014322227; HT014322227
990367997120206441; 990135660610206441	HT014349469; HT014349469	2185002-1
990135661100206441; 990175636660206441	2185053-7	HT014349518; HT014349518
990135661610206441; 990175577360206441	2185105-0	HT014349569; HT014349569
990135785540206441; 990203228860206441	2186512-7	HT014362128; HT014362128
990177276430206441; 990135854400206441	HT014369094; HT014369094	2187294-6
990177702890206441; 990136036090206441	HT014387465; HT014387465	2188717-2
990206000300206441; 990136042050206441	HT014388061; HT014388061	2189354-8
990136187230206441; 990173387410206441	2191224-5	HT014402899; HT014402899
990176647280206441; 990136187530206441	HT014402929; HT014402929	2191256-7
990136350020206441; 990206631950206441	2192620-7	HT014419374; HT014419374
990136551980206441; 990193226730206441	2195108-1	HT014439831; HT014439831
990138963060206441; 990223636880206441	2196006-9	HT014451939; HT014451939
990139173180206441; 990188565570206441	2199854-1	HT014473174; HT014473174
990139174450206441; 990190831470206441	2200009-4	HT014473301; HT014473301
990187953180206441; 990139371050206441	HT014493147; HT014493147	2201757-4
990164214890206441; 990139373910206441	HT014493433; HT014493433	2202054-8
990189475010206441; 990139561580206441	HT014512409; HT014512409	2205223-9
990139695950206441; 990177292820206441	2206082-0	HT014526010; HT014526010
990139783460206441; 990204557280206441	2207305-X	HT014534857; HT014534857
990139839370206441; 990208822830206441	2207964-6	HT014540519; HT014540519
990182175140206441; 990139840830206441	HT014540665; HT014540665	2208122-7
990142874480206441; 990220459050206441	2208457-5	HT014555506; HT014555506
990219601940206441; 990142880340206441	HT014556092; HT014556092	2209069-1
990142887930206441; 990176941690206441	2209865-3	HT014556851; HT014556851
990202077840206441; 990143035470206441	HT014571770; HT014571770	2211626-6
990143171650206441; 990166931320206441	2213024-X	HT014585534; HT014585534
990143176010206441; 990179110450206441	2213492-X	HT014585970; HT014585970
990143373210206441; 990181322800206441	2215200-3	HT014605886; HT014605886
990214775330206441; 990143460390206441	HT014614686; HT014614686	2217145-9
990101895140206441; 990171967600206441	22174-0	HT012036961; HT012036961
990179468220206441; 990143552300206441	HT014622374; HT014622374	2218186-6
99370952147606441; 990143626140206441	HT014629843; HT014629843	2218519-7
990210189130206441; 990054862500206441	HT006915369; HT006915369	221918-9
990143632830206441; 990189275630206441	2219228-1	HT014630512; HT014630512
990144397610206441; 990217479660206441	2220328-X	HT014645817; HT014645817
990191145780206441; 990144403490206441	HT014646405; HT014646405	2220935-9
990170584500206441; 990144478430206441	HT014653964; HT014653964	2222399-X
990190646300206441; 990144478570206441	HT014653978; HT014653978	2222413-0
990144537690206441; 990172163400206441	2223368-4	HT014659946; HT014659946
990175701180206441; 990144540650206441	HT014660242; HT014660242	2223682-X
990144691390206441; 990205287700206441	2225529-1	HT014675472; HT014675472
990178322160206441; 990144692420206441	HT014675575; HT014675575	2225644-1
990144766790206441; 990211542570206441	2226795-5	HT014683087; HT014683087
990144838070206441; 990174722170206441	2227906-4	HT014690287; HT014690287
990181831100206441; 990147827510206441	HT014714659; HT014714659	2231881-1
990184269930206441; 990147827620206441	HT014714670; HT014714670	2231892-6
990147830910206441; 990197455510206441	2232234-6	HT014714999; HT014714999
990147947410206441; 990171488910206441	2233561-4	HT014726793; HT014726793
990151138080206441; 990196864000206441	2234909-1	HT014734549; HT014734549
990165387780206441; 990151189690206441	HT014739758; HT014739758	2235517-0
990181448150206441; 990151196420206441	HT014740431; HT014740431	2236217-4
990102568870206441; 990052908480206441	HT002155244; HT002155244	223635-7
990151261650206441; 990190405830206441	2236649-0	HT014747007; HT014747007
990151319540206441; 990195374170206441	2237903-4	HT014752853; HT014752853
990190050580206441; 990151368570206441	HT014757817; HT014757817	2238555-1
990151501310206441; 990188322630206441	2239705-X	HT014771226; HT014771226
990196819300206441; 990151576410206441	HT014778825; HT014778825	2240663-3
990151580810206441; 990180448150206441	2241114-8	HT014779265; HT014779265
990212587930206441; 990153812430206441	HT014793049; HT014793049	2242434-9
990157046260206441; 990153819020206441	HT014793708; HT014793708	2243112-3
990183807020206441; 990153819580206441	HT014793764; HT014793764	2243170-6
990153877410206441; 990212605220206441	2243481-1	HT014799600; HT014799600
990153878990206441; 990173180690206441	2243653-4	HT014799758; HT014799758
990153882180206441; 990189283600206441	2243981-X	HT014800077; HT014800077
990170716390206441; 990153882800206441	HT014800139; HT014800139	2244044-6
990174568820206441; 990154003510206441	HT014812328; HT014812328	2245708-2
990185791040206441; 990053792090206441	HT011185113; HT011185113	224685-5
990173132890206441; 990154137820206441	HT014825892; HT014825892	2247222-8
990154138880206441; 990212505720206441	2247335-X	HT014825998; HT014825998
990154140390206441; 990180711790206441	2247495-X	HT014826149; HT014826149
990179592510206441; 990154203190206441	HT014832512; HT014832512	2248323-8
990154424590206441; 990178766090206441	2251025-4	HT014853871; HT014853871
990154530400206441; 990206408470206441	2252163-X	HT014864569; HT014864569
990204468600206441; 990154531910206441	HT014864720; HT014864720	2252334-0
990154533180206441; 990219209920206441	2252463-0	HT014864847; HT014864847
990154533210206441; 990219209950206441	2252466-6	HT014864850; HT014864850
990181294310206441; 990154596380206441	HT014871223; HT014871223	2253560-3
990207557940206441; 990154662510206441	HT014877912; HT014877912	2254572-4
990228328820206441; 990154732090206441	HT014884948; HT014884948	2255359-9
990154732460206441; 990206189310206441	2255396-4	HT014884985; HT014884985
990154732490206441; 990206189350206441	2255399-X	HT014884988; HT014884988
990202536020206441; 990154734690206441	HT014885208; HT014885208	2255629-1
990187557880206441; 990154789970206441	HT014890829; HT014890829	2256251-5
990154870320206441; 990187384620206441	2257279-X	HT014898998; HT014898998
990212573050206441; 990155141940206441	HT014921946; HT014921946	2259727-X
990160139840206441; 990155376390206441	HT014945625; HT014945625	2261494-1
990189983550206441; 990155382370206441	HT014946223; HT014946223	2262120-9
990155395260206441; 990173026980206441	2263455-1	HT014947512; HT014947512
990179050180206441; 990155402700206441	HT014948256; HT014948256	2264223-7
990367997660206441; 990155629210206441	HT014971129; HT014971129	2266501-8
990155696990206441; 990189421090206441	2267234-5	HT014977980; HT014977980
990155840850206441; 990209870270206441	2269116-9	HT014992493; HT014992493
990155847540206441; 990191538890206441	2269817-6	HT014993162; HT014993162
990210391130206441; 990155897850206441	HT014998258; HT014998258	2270251-9
990133754160206441; 990102583530206441	HT012105800; HT012105800	227037-7
990157528230206441; 990155903460206441	HT014998819; HT014998819	2270840-6
990213386790206441; 990155903920206441	HT014998865; HT014998865	2270886-8
990211131970206441; 990155905830206441	HT014999056; HT014999056	2271086-3
990156043570206441; 990171933680206441	2272167-8	HT015013008; HT015013008
990156046210206441; 990228723570206441	2272451-5	HT015013272; HT015013272
990220517820206441; 990156118110206441	HT015020533; HT015020533	2273291-3
990156122570206441; 990175715230206441	2273753-4	HT015020979; HT015020979
990156124960206441; 990220506170206441	2274001-6	HT015021218; HT015021218
990187958050206441; 990156126110206441	HT015021333; HT015021333	2274123-9
990190774020206441; 990156197840206441	HT015028599; HT015028599	2274961-5
990156391120206441; 990177575860206441	2277294-7	HT015045260; HT015045260
990156390600206441; 990208746860206441	2277525-0	HT015045208; HT015045208
990167183380206441; 990156738510206441	HT015059291; HT015059291	2279074-3
990156738720206441; 990184017380206441	2279107-3	HT015059312; HT015059312
990156742430206441; 990206238840206441	2279534-0	HT015059683; HT015059683
990157008960206441; 990171333200206441	2280915-6	HT015079281; HT015079281
990157006360206441; 990183819690206441	2281173-4	HT015079021; HT015079021
990173467620206441; 990157005580206441	HT015078943; HT015078943	2281250-7
990157004290206441; 990175640110206441	2281378-0	HT015078814; HT015078814
990164720790206441; 990157001550206441	HT015078540; HT015078540	2281647-1
990171137550206441; 990156999630206441	HT015078348; HT015078348	2281838-8
990197645770206441; 990156999360206441	HT015078321; HT015078321	2281865-0
990156996460206441; 990177380700206441	2282150-8	HT015078031; HT015078031
990156995790206441; 990171143740206441	2282215-X	HT015077964; HT015077964
990204515880206441; 990156994830206441	HT015077868; HT015077868	2282311-6
990156993720206441; 990188303140206441	2282421-2	HT015077757; HT015077757
990156990420206441; 990164264670206441	2282751-1	HT015077427; HT015077427
990199002120206441; 990156987550206441	HT015077140; HT015077140	2283034-0
990156976880206441; 990209690170206441	2284096-5	HT015076073; HT015076073
990176049340206441; 990156975350206441	HT015075920; HT015075920	2284248-2
990193128800206441; 990156974860206441	HT015075871; HT015075871	2284297-4
990156969910206441; 990198051860206441	2284790-X	HT015075376; HT015075376
990156966360206441; 990165149010206441	2285144-6	HT015075021; HT015075021
990156962050206441; 990370558590206441	2285575-0	HT015074590; HT015074590
990156958680206441; 990188317860206441	2285909-3	HT015074253; HT015074253
990171754750206441; 990156957680206441	HT015074153; HT015074153	2286009-5
990209724480206441; 990156951390206441	HT015073524; HT015073524	2286637-1
990180396640206441; 990156927040206441	HT015071089; HT015071089	2289068-3
990156910390206441; 990195177750206441	2290731-2	HT015069424; HT015069424
990156905090206441; 990160249260206441	2291261-7	HT015068894; HT015068894
990193508200206441; 990156904070206441	HT015068792; HT015068792	2291363-4
990156900790206441; 990165389400206441	2291691-X	HT015068464; HT015068464
990213701530206441; 990156871580206441	HT015065543; HT015065543	2294612-3
990223074850206441; 990156869200206441	HT015065305; HT015065305	2294850-8
990170758010206441; 990157018580206441	HT015080243; HT015080243	2295779-0
990157103310206441; 990202225810206441	2295895-2	HT015088794; HT015088794
990179387640206441; 990157199830206441	HT015098509; HT015098509	2299310-1
990157202290206441; 990173340470206441	2299575-4	HT015098755; HT015098755
990157206440206441; 990163967200206441	2300035-1	HT015099170; HT015099170
990157173360206441; 990181651680206441	2302430-6	HT015095862; HT015095862
990170674620206441; 990157396790206441	HT015118269; HT015118269	2316379-3
990195278040206441; 990157502070206441	HT015128852; HT015128852	2316524-8
990187549350206441; 990157586920206441	HT015137406; HT015137406	2323730-2
990157654090206441; 990210838430206441	2326796-3	HT015144199; HT015144199
99374867385906441; 990158967860206441	2364607-X	HT015188795; HT015188795
990159319900206441; 990158973130206441	HT015189322; HT015189322	2365216-0
990159553070206441; 990159119320206441	HT015204017; HT015204017	2365425-9
990173304070206441; 990159058540206441	HT015197939; HT015197939	2368123-8
990198646510206441; 990159095770206441	HT015201662; HT015201662	2371824-9
990227810890206441; 990159203180206441	HT015212503; HT015212503	2375626-3
990159508160206441; 990159267770206441	HT015219031; HT015219031	2375980-X
990159272760206441; 990190087020206441	2376621-9	HT015219530; HT015219530
990177098790206441; 990159336500206441	HT015226017; HT015226017	2377306-6
990175548890206441; 990159342340206441	HT015226601; HT015226601	2378044-7
990166603810206441; 990159451500206441	HT015237650; HT015237650	2378813-6
990196864040206441; 990159535590206441	HT015246144; HT015246144	2380967-X
990159536150206441; 990170955810206441	2381048-8	HT015246200; HT015246200
990159612650206441; 990182817900206441	2381981-9	HT015253955; HT015253955
990226799850206441; 990159617820206441	HT015254472; HT015254472	2382586-8
990159691120206441; 990211315690206441	2383324-5	HT015261908; HT015261908
990193306270206441; 990159684960206441	HT015261292; HT015261292	2383423-7
990184019840206441; 990159757860206441	HT015268684; HT015268684	2383634-9
990202445570206441; 990159758620206441	HT015268760; HT015268760	2383715-9
990160350930206441; 990159761920206441	HT015269090; HT015269090	2384169-2
990159828200206441; 990208158230206441	2385367-0	HT015275814; HT015275814
990173272970206441; 990159834720206441	HT015276466; HT015276466	2385453-4
990159902940206441; 990190219230206441	2386774-7	HT015283149; HT015283149
990159965380206441; 990210138560206441	2387578-1	HT015289504; HT015289504
990193633200206441; 990159965790206441	HT015289545; HT015289545	2387620-7
990193633280206441; 990159965830206441	HT015289549; HT015289549	2387624-4
990189664420206441; 990159967740206441	HT015289740; HT015289740	2387840-X
990160029310206441; 990188077110206441	2388218-9	HT015295979; HT015295979
990363565020206441; 990160083030206441	HT015301438; HT015301438	2389230-4
990165384030206441; 990160085540206441	HT015301689; HT015301689	2389605-X
990160307540206441; 990184392360206441	2392137-7	HT015323683; HT015323683
990160309450206441; 990203657400206441	2392373-8	HT015323874; HT015323874
990194097760206441; 990160377480206441	HT015330674; HT015330674	2393802-X
990211119050206441; 990160378640206441	HT015330790; HT015330790	2393933-3
990160453090206441; 990170517210206441	2394530-8	HT015338342; HT015338342
990160536340206441; 990171594550206441	2395524-7	HT015346767; HT015346767
990102648360206441; 990177753980206441	239585-X	HT012112283; HT012112283
990226755770206441; 990160540800206441	HT015347213; HT015347213	2396022-X
990184217310206441; 990160873550206441	HT015355026; HT015355026	2396575-7
990163860530206441; 990164717760206441	2397458-8	HT015363104; HT015363104
990170878840206441; 990163861260206441	HT015363177; HT015363177	2397633-0
990163938720206441; 990183542630206441	2398712-1	HT015371027; HT015371027
990164018910206441; 990214583970206441	2399345-5	HT015379156; HT015379156
990164198010206441; 990211003810206441	2402769-8	HT015397235; HT015397235
990164272140206441; 990370531100206441	2403056-9	HT015404736; HT015404736
990164273440206441; 990164231630206441	2403204-9	HT015404866; HT015404866
990164628940206441; 990176703230206441	2405770-8	HT015420319; HT015420319
990164633160206441; 990174686960206441	2406330-7	HT015420741; HT015420741
990176902390206441; 990164699140206441	HT015427402; HT015427402	2407154-7
990166239850206441; 990164702130206441	HT015427701; HT015427701	2407635-1
990226278600206441; 990164705950206441	HT015428083; HT015428083	2408088-3
990171100740206441; 990164776660206441	HT015435234; HT015435234	2408343-4
990164777630206441; 990223250660206441	2408446-3	HT015435331; HT015435331
990173309780206441; 990164782210206441	HT015435789; HT015435789	2409025-6
990164782560206441; 990207215130206441	2409060-8	HT015435824; HT015435824
990164782640206441; 990166285030206441	2409068-2	HT015435832; HT015435832
990167132660206441; 990164857430206441	HT015443411; HT015443411	2409618-0
990207758850206441; 990164866810206441	2410818-2	HT018617951; HT018617951
990054222160206441; 990118119700206441	2415-6	HT002672902; HT002672902
990165101760206441; 990171389110206441	2415023-X	HT015468079; HT015468079
990165190950206441; 990175924630206441	2415127-0	HT015474871; HT015474871
990181101700206441; 990165190360206441	HT015474812; HT015474812	2415187-7
990183427550206441; 990165242800206441	HT015480097; HT015480097	2417107-4
990165324880206441; 990177327240206441	2417841-X	HT015488397; HT015488397
990178835420206441; 990165401850206441	HT015496196; HT015496196	2418654-5
990165402630206441; 990173231400206441	2418739-2	HT015496274; HT015496274
990166253850206441; 990165402990206441	HT015496310; HT015496310	2418780-X
990165403970206441; 990180433730206441	2418912-1	HT015496408; HT015496408
990171166980206441; 990165405920206441	HT015496603; HT015496603	2419131-0
990191701830206441; 990165486660206441	HT015504786; HT015504786	2420084-0
990166218350206441; 990211579090206441	2421763-3	HT015514198; HT015514198
990184089160206441; 990166329610206441	HT015525465; HT015525465	2423073-X
990166338760206441; 990196683950206441	2424019-9	HT015526380; HT015526380
990166385920206441; 990178177830206441	2424886-1	HT015531166; HT015531166
990194181810206441; 990166386590206441	HT015531233; HT015531233	2424958-0
990202112960206441; 990166386760206441	HT015531250; HT015531250	2424979-8
990175596970206441; 990166452800206441	HT015537933; HT015537933	2426379-5
990166455710206441; 990174093570206441	2426849-5	HT015538224; HT015538224
990166456780206441; 99370733750406441	2426966-9	HT015538331; HT015538331
990166486080206441; 990166539200206441	HT015544911; HT015544911	2427577-3
990175721620206441; 990166615250206441	HT015552630; HT015552630	2428290-X
990166618160206441; 990182465920206441	2428660-6	HT015552921; HT015552921
990166624300206441; 990182567470206441	2429359-3	HT015553535; HT015553535
990166904860206441; 990196792600206441	2429874-8	HT015560850; HT015560850
990174532280206441; 990166908420206441	HT015561206; HT015561206	2430359-8
990173037890206441; 990166910230206441	HT015561387; HT015561387	2430558-3
990178315170206441; 990166913180206441	HT015561682; HT015561682	2430893-6
990180637300206441; 990166993350206441	HT015569796; HT015569796	2431413-4
990177793020206441; 990166998890206441	HT015570350; HT015570350	2432071-7
990220009440206441; 990166999710206441	HT015570432; HT015570432	2432161-8
990198322050206441; 990167076300206441	HT015578194; HT015578194	2432435-8
990178417930206441; 990167079410206441	HT015578505; HT015578505	2432818-2
990167156040206441; 990194240970206441	2433833-3	HT015586290; HT015586290
990207532180206441; 990167239570206441	HT015594725; HT015594725	2434834-X
990167242070206441; 990175726450206441	2435046-1	HT015594975; HT015594975
990167247720206441; 990206000450206441	2435716-9	HT015595540; HT015595540
990167332660206441; 990196963130206441	2437160-9	HT015604052; HT015604052
