almaMmsId	zdbId
99370694893206441; 990151262460206441	2236731-7
990151262550206441; 99370693457606441	2236740-8
990151262560206441; 99370687977006441	2236741-X
990151262600206441; 99370690595306441	2236745-7
990151262640206441; 99370693091606441	2236749-4
99370674077106441; 990151262680206441	2236753-6
990151262700206441; 99370693885006441	2236756-1
990151262780206441; 99370693887106441	2236764-0
990151262820206441; 99370693888306441	2236768-8
99370670376906441; 990151262870206441	2236773-1
99370671619006441; 990151262920206441	2236778-0
99370672962406441; 990151263840206441	2236872-3
99370698651906441; 990151263890206441	2236877-2
99370695029006441; 990151263910206441	2236879-6
99370671620306441; 990151263940206441	2236882-6
99370688098906441; 990151263970206441	2236885-1
990151264040206441; 99370693887506441	2236892-9
990151264060206441; 99370694401506441	2236894-2
99370684831806441; 990151264090206441	2236897-8
99370688989506441; 990151264100206441	2236898-X
99370685011106441; 990151264110206441	2236899-1
99370679422006441; 990151264130206441	2236901-6
99370688989206441; 990151264170206441	2236905-3
99370777775506441; 990151264240206441	2236912-0
99370685059706441; 990151264270206441	2236915-6
99370691131206441; 990151264310206441	2236919-3
99370693887806441; 990151264330206441	2236921-1
99370693887606441; 990151264340206441	2236922-3
99370674080906441; 990151264370206441	2236925-9
990151264400206441; 99370677321606441	2236928-4
99370674080106441; 990151264450206441	2236933-8
990151264460206441; 99370700291306441; 99370887834206441	2236934-X
99370674083406441; 990151264480206441	2236937-5
99370671613506441; 990151264520206441; 991002821309706485	2236941-7
99370703048206441; 990151264580206441	2236947-8
990151264650206441; 99370675404906441	2236954-5
99370674077606441; 990151264670206441	2236956-9
99370696083006441; 990151264800206441	2236969-7
990151264830206441; 99370684733906441	2236972-7
99370678715806441; 99370704376006441; 990151265400206441	2237030-4
990151265420206441; 99370684733006441	2237032-8
99370704375606441; 990151265430206441	2237033-X
990151265490206441; 991002259599706485	2237039-0
99370674081106441; 990151265540206441	2237044-4
99370693452806441; 990151265560206441	2237046-8
990151265630206441; 99370674076106441	2237053-5
990151265740206441; 99370683438506441	2237066-3
99370688993206441; 990151265820206441	2237074-2
99370688988806441; 990151265960206441	2237088-2
990151266030206441; 99370690318106441	2237095-X
990151266180206441; 99370682802106441	2237110-2
99370673510206441; 990151266310206441	2237123-0
990151267530206441; 99370686434806441	2237249-0
99370689804806441; 990151313440206441	2237264-7
99370678373806441; 990151313460206441	2237266-0
990151313590206441; 99370689352606441	2237279-9
99370698692706441; 990151313630206441	2237283-0
99370682433206441; 990151313650206441	2237285-4
990151313690206441; 99370695737906441	2237289-1
99370691672906441; 990151313730206441	2237293-3
990151313760206441; 99370677998606441	2237296-9
990151313800206441; 99370698162506441	2237300-7
990151313890206441; 99370699940906441	2237310-X
99370887364506441; 990151313920206441	2237313-5
99370682876606441; 990151314070206441	2237329-9
99370688330006441; 990151314110206441	2237333-0
990151314560206441; 99370698102006441	2237381-0
99370696379606441; 990151314880206441	2237415-2
990151314890206441; 99370698101306441	2237416-4
99370672697906441; 990151315310206441	2237460-7
99370690196506441; 990151315410206441	2237470-X
99370698101406441; 990151315510206441	2237480-2
990151315550206441; 99370698162706441	2237484-X
990151315560206441; 99370698162606441	2237485-1
990151316010206441; 99370699898306441	2237532-6
99370691673606441; 990151316070206441	2237539-9
99370684999806441; 990151316100206441	2237542-9
99370674075406441; 990151316160206441	2237548-X
990151316190206441; 99371436847506441	2237551-X
99370709184306441; 990151316230206441	2237556-9
99370700221106441; 990151316270206441	2237560-0
99370682269406441; 990151316350206441	2237568-5
990151316390206441; 99370686928106441	2237572-7
990151317370206441; 99370677999806441	2237677-X
99370675073406441; 990151317400206441	2237680-X
99370705903206441; 990151317890206441	2237730-X
99370686862006441; 990151318010206441	2237747-5
99370674079806441; 990151319060206441	2237855-8
990151319090206441; 99370675059906441	2237858-3
99370670947506441; 990151319110206441	2237860-1
99370674386506441; 990151319210206441	2237870-4
99370694893506441; 990151319260206441	2237875-3
99370698101506441; 990151319270206441	2237876-5
990151319310206441; 99370688584606441	2237880-7
99370685504006441; 990151319370206441	2237886-8
990151319460206441; 99370688995706441	2237895-9
990151319570206441; 99370685901906441	2237906-X
99370686076906441; 990151362880206441	2237957-5
990151362960206441; 99370684832106441	2237965-4
99370704073106441; 990151363070206441	2237977-0
99370679310706441; 990151363110206441	2237981-2
99370679483706441; 990151363180206441	2237988-5
99370887324106441; 990151363190206441	2237989-7
99370672401806441; 990151363250206441	2237995-2
990151363390206441; 99370684994506441	2238009-7
99370677946706441; 990151363410206441	2238011-5
99370686152806441; 990151363560206441	2238026-7
990151363640206441; 99370698101606441	2238034-6
990151363690206441; 99370688990106441	2238039-5
990151364010206441; 99370690502206441	2238073-5
990151364020206441; 99370693522006441	2238074-7
990151364430206441; 99370682777606441	2238116-8
99370699616006441; 990151364760206441	2238152-1
99370671617406441; 990151364860206441	2238165-X
99370671617306441; 990151364870206441	2238166-1
990151364920206441; 99370689961106441	2238171-5
99370685058006441; 990151364930206441	2238172-7
99370672912606441; 990151364960206441	2238176-4
990151364980206441; 99370678886206441	2238178-8
99370695027806441; 990151365000206441	2238180-6
99370887383606441; 990151365020206441	2238183-1
99370672913006441; 990151365040206441	2238185-5
990151365070206441; 99370682436306441	2238188-0
990151365100206441; 99370682433406441	2238191-0
990151365120206441; 99370682433106441	2238194-6
990151365180206441; 99370698101006441	2238200-8
99370682432706441; 990151365200206441	2238202-1
99370673013106441; 990151365210206441	2238203-3
990151365230206441; 99370673507406441	2238205-7
99370672780506441; 990151365350206441	2238217-3
99370698383306441; 990151365520206441	2238234-3
990151365560206441; 99370690313806441	2238238-0
990151365750206441; 99370698101106441	2238257-4
990151366240206441; 99370690172906441	2238306-2
99370694088506441; 990151366790206441	2238369-4
99370691773406441; 990151366800206441	2238370-0
990151366820206441; 99370690797406441	2238372-4
990151367000206441; 99370682432606441	2238393-1
99370834942106441; 990151367070206441	2238400-5
99370683088306441; 990151367110206441	2238404-2
99370690798406441; 990151367170206441	2238411-X
990151367200206441; 99370690799006441	2238414-5
990151367310206441; 99370690798606441	2238425-X
990151367420206441; 99370691769806441	2238436-4
99370687937306441; 990151367560206441	2238451-0
990151367660206441; 99370694894406441	2238461-3
990151367760206441; 99370691726806441	2238471-6
99370671986706441; 990151367880206441	2238484-4
99370697239206441; 990180767060206441	2238516-2
990151368210206441; 99370698947706441	2238519-8
99370887376706441; 990151368890206441	2238587-3
99370700018606441; 990151368940206441	2238592-7
99370686184806441; 990151369020206441	2238601-4
99370689733406441; 990151369050206441	2238604-X
99370688990906441; 990151369100206441	2238609-9
99370733498106441; 990151369150206441	2238614-2
990151369490206441; 99370698100706441	2238651-8
990153820860206441; 99371436219806441	2238707-9
99370678063706441; 990151370170206441	2238719-5
990151370530206441; 99370696370106441	2238755-9
99371436975606441; 990151370930206441	2238797-3
99370671216706441; 990151371340206441	2238839-4
99370678061806441; 990151371440206441	2238849-7
99370672459806441; 990151371540206441	2238859-X
99370673901106441; 990151371660206441	2238871-0
990151372080206441; 99370697046106441	2238914-3
99370688766206441; 990151431350206441	2238936-2
990151431370206441; 99370698100806441	2238938-6
99370690171706441; 990151431450206441	2238946-5
990151431480206441; 99370690504306441	2238949-0
99370688735106441; 990151431490206441	2238950-7
990151431540206441; 99370694079006441	2238955-6
99370673733706441; 990151431780206441	2238981-7
99370679303806441; 990151432230206441	2239027-3
99370698100906441; 991013200429706448; 990151433950206441	2239207-5
99370678639006441; 990151436250206441	2239443-6
99370695633906441; 990151436300206441	2239448-5
99370674081506441; 990151436350206441	2239453-9
99370674080706441; 990151436380206441	2239456-4
99370679302206441; 990151436430206441	2239461-8
99370695446006441; 990151436510206441	2239469-2
99370674390406441; 990151436560206441	2239475-8
99370685501206441; 990151436590206441	2239478-3
99370674390706441; 990151436670206441	2239486-2
99370674188406441; 990151436720206441	2239491-6
99370693065506441; 990151436790206441	2239498-9
990151436870206441; 99370688988406441	2239506-4
99370675146206441; 990151436900206441	2239509-X
99370691529906441; 990151437060206441	2239526-X
990151437180206441; 99370676440606441	2239538-6
99370885530806441; 990151500320206441	2239604-4
99370682717206441; 990151500360206441	2239608-1
99370682434906441; 990151500380206441	2239610-X
990151500430206441; 99370698300306441	2239615-9
990151500510206441; 99370698100406441	2239623-8
990151500670206441; 99370693792706441	2239640-8
990151500730206441; 99370688338006441	2239646-9
99370691119906441; 990151500770206441	2239650-0
990151500810206441; 99370682436006441	2239654-8
99370674079606441; 990151500820206441	2239655-X
99370677700406441; 990151500910206441	2239664-0
99370674081006441; 990151500940206441	2239667-6
99370672816506441; 990151501080206441	2239681-0
99370678623206441; 990151501140206441	2239687-1
99370674818506441; 99370677671606441; 990151501150206441	2239688-3
99370688479506441; 990151501800206441	2239755-3
99370671613006441; 990151501960206441	2239771-1
990151502460206441; 99370698100506441	2239822-3
99370699222906441; 990151502690206441	2239846-6
99370694483906441; 990151502780206441	2239855-7
99371434728806441; 990151502890206441	2239866-1
990151503580206441; 991004770789706485	2239942-2
99370689536706441; 990151503640206441	2239948-3
99370699788806441; 990151504100206441	2239996-3
990151504130206441; 99370690904106441	2239999-9
99370687540706441; 990151504140206441	2240000-X
99370687277606441; 990151504280206441	2240015-1
99370698800806441; 990151504440206441	2240032-1
99370698100606441; 990151504600206441	2240049-7
990151504750206441; 991002910919706485; 99370699691006441	2240064-3
990151504790206441; 99370696800106441	2240068-0
990151504990206441; 99370682435706441	2240089-8
99370698299906441; 990151505030206441	2240093-X
99370687317906441; 990151505790206441	2240170-2
99370676416806441; 990151505800206441	2240171-4
99370671616406441; 990151505830206441	2240174-X
99370699817706441; 990151506170206441	2240208-1
99370694423506441; 990151506310206441	2240223-8
99370683150306441; 990151506370206441	2240229-9
99370690186706441; 990151506410206441	2240233-0
990151506430206441; 99370683511306441	2240235-4
990151506480206441; 99370696500806441	2240240-8
99370688992006441; 990151506490206441	2240242-1
99370689161406441; 990151506590206441	2240253-6
990151506610206441; 99370672915306441	2240256-1
990151506970206441; 99370682435906441	2240293-7
990151507000206441; 99370686157906441	2240296-2
99370689712406441; 990151507350206441	2240334-6
990151507430206441; 99370692037706441	2240342-5
990151507480206441; 99370682433706441	2240348-6
990151507500206441; 99370698300006441	2240351-6
990151507540206441; 99370685039006441	2240355-3
990151507590206441; 99370690936606441	2240362-0
99370682434206441; 990151507620206441	2240365-6
990151507680206441; 99370684490906441	2240371-1
990151507960206441; 99370777519906441	2240399-1
990151508020206441; 99370699818806441	2240405-3
990151508090206441; 99370689993206441	2240412-0
990151508130206441; 99370697752706441	2240416-8
99370699016706441; 990151508210206441	2240424-7
99370677158706441; 990151508260206441	2240429-6
99370691116706441; 990151575860206441	2240606-2
990151575970206441; 99370683511606441	2240617-7
99370696505906441; 990151576330206441	2240655-4
990151577690206441; 99370698300106441	2240795-9
99370677504006441; 990163888370206441	2240796-0
990151577980206441; 99370695741906441	2240824-1
990151578110206441; 99370698113006441	2240837-X
99370685690906441; 990151578130206441	2240839-3
99370678384206441; 990151578160206441	2240842-3
990151578200206441; 99370698300206441	2240846-0
99370688506706441; 990151578240206441	2240850-2
99370693452906441; 990151578260206441	2240853-8
99370688991606441; 990151578280206441	2240855-1
99370777456806441; 990151578310206441	2240858-7
99370695145806441; 990151578340206441	2240861-7
99370688989706441; 990151578580206441	2240886-1
990151578630206441; 99371147102106441	2240891-5
99370692034606441; 990151578660206441	2240894-0
99370688994106441; 990151578700206441	2240898-8
990151578880206441; 99370693455506441	2240917-8
99370693944806441; 990151579060206441	2240935-X
990151579260206441; 99370671310306441	2240955-5
990151579520206441; 99370698299506441	2240981-6
990151580030206441; 99370682433606441	2241034-X
990151580170206441; 99370776354606441	2241048-X
990151580360206441; 99370696799706441	2241069-7
99370682430006441; 990151580380206441	2241071-5
99370688988506441; 990151580400206441	2241073-9
990151580450206441; 99370688995206441	2241078-8
99370690565206441; 990151580590206441	2241092-2
99370682241806441; 990151580700206441	2241103-3
990151580730206441; 99370684521606441	2241106-9
990151580750206441; 99370686828606441	2241108-2
99370683858306441; 990151580860206441	2241119-7
99370887373106441; 990151580880206441	2241121-5
99370693946406441; 990151580960206441	2241129-X
99370696925406441; 990151581030206441	2241136-7
990151582260206441; 99370697410806441	2241263-3
990151582310206441; 99370698478606441	2241268-2
990151582320206441; 99370688994306441	2241269-4
990151582340206441; 99370688994406441	2241271-2
99370674084306441; 990151582500206441	2241287-6
99370687105806441; 990151582520206441	2241289-X
99370698112206441; 990151582710206441	2241309-1
99370699784806441; 990151582770206441	2241315-7
99370684610506441; 990151582810206441	2241319-4
99370693457406441; 990151582890206441	2241329-7
990151583040206441; 99370699940206441	2241346-7
990151583170206441; 99370696923106441	2241361-3
990151647150206441; 99370686486306441	2241474-5
99370683438706441; 990151647180206441	2241477-0
99370693143706441; 990151647320206441	2241491-5
99370683438306441; 990151647360206441	2241495-2
990151647480206441; 99370691418306441	2241507-5
99370674079406441; 990151647500206441	2241509-9
990151647630206441; 99370698299606441	2241522-1
990151647690206441; 99370682434606441	2241528-2
990151647710206441; 99370698299706441	2241530-0
990151647870206441; 99370682434106441	2241546-4
99370687662906441; 990151648010206441	2241560-9
990151648060206441; 99370682434806441	2241565-8
99370699623506441; 990151648080206441	2241567-1
99370682433306441; 990151648090206441	2241568-3
990151648140206441; 99370695215906441	2241573-7
99370685616506441; 990151648610206441	2241621-3
99370686492206441; 990151648890206441	2241650-X
99370686402406441; 990151648900206441	2241651-1
990151648910206441; 99370698299806441	2241652-3
990151648920206441; 99370693486506441	2241653-5
99370678787806441; 990151648940206441	2241655-9
99370690504906441; 990151649520206441	2241717-5
990151649560206441; 99370699859106441	2241721-7
99370671025206441; 990151649960206441	2241762-X
99370675073206441; 990151650480206441	2241820-9
990151650490206441; 99370683085106441	2241821-0
99370686849906441; 990151650500206441	2241822-2
99370673470106441; 990151650590206441	2241831-3
99370682877906441; 990151561810206441	2241842-8
99370700039806441; 990151650710206441	2241846-5
990151650730206441; 99370685508406441	2241848-9
99370689536606441; 990151650840206441	2241860-X
99370674083306441; 990151650850206441	2241861-1
990151650900206441; 99370687243106441	2241866-0
99370698005506441; 990151651000206441	2241876-3
990151651010206441; 99370692563106441	2241877-5
990151651030206441; 99370697866406441	2241879-9
99371436709206441; 990151651100206441	2241886-6
990151651110206441; 99370698299106441	2241887-8
99370682315806441; 990151651230206441	2241900-7
990151651260206441; 99370698299206441	2241903-2
990151651560206441; 99370688587906441	2241933-0
99370684029006441; 990151651590206441	2241936-6
990151652000206441; 99370672584806441	2241978-0
990151652300206441; 99370682436106441	2242010-1
99370682435806441; 990151652450206441	2242025-3
99370686862606441; 990151652670206441	2242049-6
99370692034506441; 990151652750206441	2242057-5
99370687341006441; 990151652780206441	2242060-5
99370699222406441; 990151652900206441	2242072-1
99370675073106441; 990151653030206441	2242085-X
99370697523606441; 990151653040206441	2242086-1
99370703299906441; 990151653080206441	2242090-3
99370693945206441; 990151653150206441	2242097-6
99370684608606441; 990151653190206441	2242102-6
99370684610206441; 990151653230206441	2242106-3
99370675249406441; 990151653400206441	2242123-3
99370675072506441; 990151653810206441	2242164-6
99370674986606441; 990151654170206441	2242202-X
99370682436206441; 990151654320206441	2242217-1
990151654570206441; 99370675697206441	2242242-0
990151654870206441; 99370696501006441	2242274-2
99370696418306441; 990151654950206441	2242282-1
990151655130206441; 99370692193906441	2242301-1
99370678443906441; 990151655930206441	2242383-7
990151656000206441; 99370673508306441	2242390-4
99370686806406441; 990153814940206441	2242694-2
990153815060206441; 99370686416706441	2242706-5
990153815510206441; 99370699764106441	2242753-3
99370684398806441; 990153815590206441	2242762-4
99370679303606441; 990153816130206441	2242817-3
99370698299306441; 990153817850206441	2242992-X
990153818540206441; 99370694998306441	2243064-7
99370693431806441; 990153819410206441	2243152-4
99370691233906441; 990153819690206441	2243182-2
99370698299406441; 990153819780206441	2243191-3
99370699180306441; 990153874950206441	2243228-0
990153875020206441; 99370690115206441	2243235-8
99370887315006441; 990153875030206441	2243236-X
990153875050206441; 99370699180606441	2243238-3
99370682314506441; 990153875070206441	2243240-1
99370699177306441; 990153875430206441	2243276-0
990153875570206441; 99370887215006441	2243291-7
99370677280206441; 990153875630206441	2243299-1
99370672914306441; 990153875720206441	2243308-9
99370686804306441; 990153875790206441	2243315-6
99370683173406441; 990153876030206441	2243340-5
990153876060206441; 99370682099906441	2243343-0
99370693943606441; 990153877190206441	2243458-6
990153877200206441; 99370699176806441	2243459-8
990153877320206441; 99370688186606441	2243472-0
99370687105606441; 990153877390206441	2243479-3
990153877420206441; 99370684361606441	2243482-3
99370698383506441; 990153877550206441	2243495-1
990153877580206441; 99370697731606441	2243498-7
991002663339706485; 99370694418506441	2243506-2
990153877660206441; 99370698479606441	2243507-4
99370674076606441; 990153877710206441	2243512-8
990153877850206441; 99370689730106441	2243531-1
990153877930206441; 99370687216106441	2243539-6
99370692422106441; 990153877990206441	2243545-1
990153878030206441; 99370691416606441	2243551-7
990153878230206441; 99370693148606441	2243574-8
990153878430206441; 99370693454606441	2243595-5
990153879130206441; 99370698103206441	2243668-6
99370674989806441; 990153879150206441	2243670-4
99370698977306441; 990153879180206441	2243673-X
99370675073306441; 990153879250206441	2243680-7
99370692797906441; 990153879270206441	2243682-0
990153879300206441; 99370699175306441	2243686-8
99370683150206441; 990153879340206441	2243690-X
99370679304906441; 990153880310206441	2243790-3
990153880400206441; 99370695685506441	2243800-2
99370695684706441; 990153880420206441	2243802-6
99370685403706441; 990153880430206441	2243803-8
99370698183106441; 990153880550206441	2243815-4
99370699792506441; 990153880620206441	2243822-1
99370699791006441; 990153880640206441	2243825-7
99370673506106441; 990153880700206441	2243831-2
990153880710206441; 99370685565106441	2243832-4
99370686828106441; 990153880720206441	2243833-6
99370676422606441; 990153880750206441	2243836-1
99370672107706441; 990153880820206441	2243843-9
99370683263606441; 990153880830206441	2243844-0
990153880880206441; 99370694888006441	2243849-X
99370684057406441; 990153881000206441	2243861-0
99370699939206441; 990153881650206441	2243928-6
990153881770206441; 99370698200406441	2243940-7
990153881790206441; 99370683309806441	2243942-0
99370686861906441; 990153882060206441	2243969-9
99370674081906441; 990153882130206441	2243976-6
99370671614906441; 990153882160206441	2243979-1
990153882200206441; 99370674082606441	2243983-3
99370677957206441; 991005832769706485	2244003-3
990153882440206441; 99370693597506441	2244007-0
99370682143406441; 990153882850206441; 99370708778106441	2244049-5
99370690295006441; 990153882970206441	2244061-6
99370779894706441; 990153883080206441	2244073-2
99370678385306441; 990153883180206441	2244083-5
990153883240206441; 99370705756406441	2244089-6
99370670812806441; 990153934210206441	2244112-8
99370690299706441; 990153934220206441	2244113-X
99370698647606441; 990153934320206441	2244123-2
99370685560606441; 990153934410206441	2244132-3
99370673129006441; 990153934490206441	2244140-2
990153934510206441; 99370707836106441	2244142-6
99370670948306441; 990153934560206441	2244147-5
99370671307606441; 990153934660206441	2244157-8
99370682318206441; 990153934720206441	2244163-3
99370887448806441; 990153934750206441	2244167-0
99370698112406441; 990153934870206441	2244179-7
990153934920206441; 99370699788906441	2244184-0
990153934930206441; 99370673228006441	2244185-2
99370673228306441; 990153934950206441	2244187-6
99370779897006441; 990153935130206441	2244207-8
99370678172106441; 990174127990206441	2244243-1
99370694419206441; 990153936500206441	2244351-4
99370703048706441; 990153936540206441	2244355-1
99370698111806441; 990153936950206441; 991002611279706485	2244396-4
99370698647306441; 990153937100206441	2244411-7
99370699481306441; 990153937660206441	2244468-3
990153938420206441; 99370692032906441	2244544-4
990153938470206441; 99370690942806441	2244549-3
990153938490206441; 99370685504106441	2244551-1
990153938520206441; 99370698103306441	2244554-7
99370679306306441; 991002677879706485; 990153938550206441	2244557-2
990153938600206441; 99370683435406441	2244563-8
99370676418806441; 990153938670206441	2244570-5
99370671310006441; 990153938740206441	2244577-8
99370671612806441; 990153938940206441	2244602-3
99371368803006441; 990153939110206441; 991003751369706485	2244619-9
99370690180406441; 990153939280206441	2244636-9
990153939360206441; 99370688995306441	2244644-8
990153939540206441; 99370691333406441	2244662-X
99371391369706441; 990153939900206441	2244701-5
990153940410206441; 99370693136006441	2244752-0
990153940420206441; 99370684728206441	2244753-2
99370687670606441; 990153940460206441	2244757-X
990153940470206441; 99370698109906441	2244759-3
990153940550206441; 99370686949706441	2244767-2
990153940670206441; 99370683309706441	2244779-9
990153940770206441; 99370673736606441	2244789-1
990153940970206441; 99370682434506441	2244810-X
99370674075606441; 990153941070206441; 991002662369706485	2244820-2
99370697646506441; 990153941140206441	2244827-5
990153941170206441; 99370699939906441	2244830-5
99370679301706441; 990153942340206441	2244951-6
99370675823106441; 990153942370206441	2244954-1
99370679308006441; 990153942380206441	2244955-3
99370683564306441; 990153942400206441	2244957-7
99370691587106441; 990153942440206441	2244961-9
99370674076906441; 990153942490206441	2244966-8
99370693457206441; 990153942510206441	2244968-1
990153942610206441; 99370699476606441	2244978-4
990153942640206441; 99370684397506441	2244982-6
99370688990006441; 990153942820206441	2245000-2
99370686861406441; 990153942890206441	2245007-5
99370698650906441; 990153943010206441	2245019-1
99370676308706441; 990153943260206441	2245044-0
990153944160206441; 99370694769106441	2245135-3
990153998230206441; 99370686160106441	2245161-4
99370686338606441; 990153998350206441	2245173-0
990153998500206441; 99370690256706441	2245188-2
990153998550206441; 99370683309906441	2245193-6
99370699940306441; 990153998580206441	2245197-3
990153998660206441; 99370697696706441	2245205-9
99370675534506441; 990153998710206441	2245211-4
99370698312506441; 990153999140206441	2245255-2
99370887356406441; 990153999290206441	2245271-0
99370698103406441; 990153999430206441	2245286-2
990153999500206441; 99370684897106441	2245293-X
990153999510206441; 99370691237306441	2245294-1
99370699819206441; 990153999600206441	2245303-9
990153999660206441; 99370703877106441	2245309-X
990153999740206441; 99370707511206441	2245317-9
99370679009706441; 990153999760206441	2245319-2
99370694377306441; 990153999830206441	2245327-1
990153999890206441; 99370698102806441	2245333-7
99370698102906441; 990153999940206441	2245338-6
990153999970206441; 99370683317506441	2245341-6
99370695735606441; 990153999990206441	2245343-X
990154000000206441; 99370698103006441	2245344-1
990154000040206441; 99370688503506441	2245348-9
99370682186706441; 99370689548806441; 990154000080206441	2245352-0
99370699939606441; 990154000090206441	2245353-2
990154000100206441; 99370692531106441	2245354-4
990154000110206441; 99370709606906441	2245355-6
99370698103106441; 990154000180206441	2245362-3
99370690365106441; 990154000300206441	2245375-1
99370688020906441; 990154000310206441	2245376-3
99370683292306441; 990154000320206441	2245377-5
99370699221006441; 990154000370206441	2245382-9
99370692525206441; 990154000410206441	2245386-6
99370688190806441; 990154000430206441	2245388-X
99370709607406441; 990154000480206441	2245393-3
99370696201006441; 990154000520206441	2245397-0
99370688402206441; 990154000530206441	2245398-2
99370683340806441; 990154000620206441	2245408-1
99370686824206441; 990154000730206441	2245419-6
990154000940206441; 99370691060906441	2245440-8
99370700300306441; 990154001270206441	2245473-1
99370698159206441; 990154001430206441	2245490-1
990154001520206441; 99370709606106441	2245503-6
990154001540206441; 99370709611906441	2245505-X
990154001570206441; 99370703634006441	2245509-7
99370697926606441; 990154001600206441	2245512-7
990154001620206441; 99370703632606441	2245515-2
99370682182306441; 990154001660206441	2245521-8
990154001790206441; 99370690799106441	2245534-6
990154001820206441; 99370690797206441	2245537-1
990154001850206441; 99370691117806441	2245540-1
990154001860206441; 99370683420006441	2245541-3
99370690797906441; 990154001930206441	2245548-6
99370704279106441; 990154001960206441	2245551-6
990154001970206441; 99370692912806441	2245552-8
99370691058306441; 990154002000206441	2245555-3
990154002020206441; 99370690798706441	2245557-7
99370687279706441; 990154002030206441	2245558-9
99370692041106441; 990154002040206441	2245559-0
990154002090206441; 99370703633106441	2245564-4
99370694335906441; 990154002150206441	2245570-X
99370683954906441; 990154002230206441	2245578-4
99370683955306441; 990154002260206441	2245581-4
99370683293506441; 990154002280206441	2245583-8
99370688109506441; 990154002320206441	2245587-5
99370688015106441; 990154002380206441	2245593-0
99370698102506441; 990154002400206441	2245595-4
99370688015906441; 990154002420206441	2245597-8
990154002490206441; 99370685592706441	2245604-1
990154002680206441; 99370691232206441	2245623-5
99370699066306441; 990154002760206441	2245632-6
99370692041706441; 990154002910206441	2245648-X
99370678175906441; 990154002940206441	2245651-X
99370688018406441; 990154002950206441	2245652-1
99370691060606441; 990154003110206441	2245668-5
99370689355106441; 990154003150206441	2245672-7
99370694887106441; 990154003200206441	2245677-6
99370691058106441; 990154003220206441	2245679-X
99370698004906441; 990154003240206441	2245681-8
99370698582506441; 990154003260206441	2245683-1
99370688016206441; 990154003290206441	2245686-7
99370699688306441; 990154003880206441	2245749-5
990154004040206441; 99370699691906441	2245765-3
99370699885006441; 990154004090206441	2245770-7
99370684164306441; 990154004130206441	2245774-4
99370688063006441; 990154004140206441	2245775-6
99370671306606441; 990154004170206441	2245778-1
99370676980506441; 990154004200206441	2245781-1
99370683298006441; 990154004230206441	2245784-7
99370692346206441; 990154004310206441	2245792-6
99370677024406441; 990154004460206441	2245807-4
99370698494306441; 990154004650206441	2245826-8
99370697310406441; 990154004690206441	2245830-X
99370690585806441; 990154004700206441	2245831-1
99370671306806441; 990154004760206441	2245837-2
990154004770206441; 99370675816106441	2245838-4
99370691060706441; 990154005120206441	2245873-6
99370693925706441; 990154005190206441	2245880-3
99370697975506441; 990154005300206441	2245891-8
99370691057906441; 990154005360206441	2245897-9
99370698022006441; 990154005370206441	2245898-0
99370694377206441; 990154005460206441	2245909-1
99370689047306441; 990154005500206441	2245913-3
99370682102806441; 990154005680206441	2245931-5
99370675821606441; 990154005690206441	2245932-7
99370690594206441; 990154005700206441	2245933-9
99371257959706441; 990154005710206441	2245934-0
99370691237806441; 990154005840206441	2245947-9
99370689051406441; 990154005870206441	2245950-9
99370699941506441; 990154005890206441	2245952-2
990154005950206441; 99370699941606441	2245958-3
990154006040206441; 99370699940706441	2245967-4
99370684101506441; 990154006060206441	2245969-8
99370674739306441; 990154006080206441	2245971-6
990154006170206441; 99370690176206441	2245980-7
99370691433106441; 990154006240206441	2245987-X
990154006310206441; 99370692784706441	2245994-7
99370696757306441; 990154006370206441	2246000-7
99370672958206441; 990154006400206441	2246003-2
990154006520206441; 99370685110806441	2246016-0
99370673183006441; 990154006650206441	2246029-9
990154006780206441; 99370674153006441	2246042-1
99370671610406441; 990154006820206441	2246046-9
99372483569606441; 990154006900206441	2246054-8
99370675064406441; 990154006930206441	2246057-3
99370676443506441; 990154006940206441	2246058-5
99370690296306441; 990154006960206441	2246060-3
99370676379106441; 990154007000206441	2246064-0
99370672636406441; 990154007020206441	2246066-4
99370676371306441; 990154007080206441	2246072-X
99370675058306441; 990154007120206441	2246076-7
990154007140206441; 99370708257606441	2246078-0
99370677415706441; 990154007150206441	2246079-2
99370672789006441; 990154007170206441	2246081-0
99370673902406441; 990154007190206441	2246083-4
99370676749106441; 990154007200206441	2246084-6
99370674152906441; 990154007210206441	2246085-8
99370673189406441; 990154007240206441	2246088-3
99370675061606441; 990154007250206441	2246089-5
99370674715506441; 990154007310206441	2246095-0
99370686129806441; 990154007320206441	2246096-2
99370686183206441; 990154007330206441	2246097-4
99370675061506441; 990154007360206441	2246100-0
99370675059806441; 990154007400206441	2246104-8
99370676271106441; 990154007470206441	2246111-5
99370675057806441; 990154007500206441	2246114-0
99370675065006441; 990154007590206441	2246123-1
99370673470506441; 990154007660206441	2246130-9
99370676443406441; 990154007680206441	2246132-2
99370675057306441; 990154007720206441	2246136-X
99370675058906441; 990154007730206441	2246137-1
99370675062706441; 990154007870206441	2246151-6
99370677016906441; 990154007950206441	2246159-0
99370671440306441; 990154007980206441	2246162-0
99370677505606441; 990154008000206441	2246164-4
99370675060706441; 990154008020206441	2246166-8
99370676372006441; 990154008070206441	2246171-1
99372483570006441; 990154008200206441	2246184-X
99372483569706441; 990154008220206441	2246186-3
99372483568906441; 990154008290206441	2246193-0
99370687667306441; 990154008310206441	2246195-4
