almaMmsId	hbzId	zdbId
990052923110206441; 990102457270206441	HT002158321; HT012093174	187421-4
990102464800206441; 990206172130206441	HT012093927; HT018478034	188977-1
990102469200206441; 990204601250206441	HT012094367; HT018329369	189930-2
990052787740206441; 990102475850206441	HT001257565; HT012095032	191168-5
990053781130206441; 990366242060206441	HT011183873; HT020431408	191191-0
990053783830206441; 990217524060206441	HT011184163; HT019251405	194368-6
990102496600206441; 990210418340206441	HT012097107; HT018870779	194901-9
990102522160206441; 990179013290206441	HT012099663; HT016283974	198795-1
990113130040206441; 990181460170206441	HT012985940; HT016451726	2009802-9
990113164210206441; 990228194530206441	HT012989357	2013394-7
990113329250206441; 990197495730206441	HT013005963; HT017702776	2019798-6
990054801490206441; 99374608227406441	HT006906631	202325-8
990102528690206441; 990177543130206441	HT012100316; HT016143511	202350-7
990113455990206441; 990180901570206441	HT013018676; HT016396406	2027637-0
990113501220206441; 990188402310206441	HT013023209; HT016948212	2031272-6
990113541690206441; 990193128520206441	HT013027270; HT017401993	2034201-9
990113643100206441; 990159316030206441	HT013037424; HT015223928	2042214-3
990054066380206441; 990223466280206441	HT001373313; HT019626346	204427-4
990113284180206441; 990177792390206441	HT013001436; HT016168378	2047383-7
990054460200206441; 990118079820206441	HT005060662; HT013484132	205121-7
990114174030206441; 990195164280206441	HT013090888; HT017600610	2051979-5
990114290840206441; 990205353780206441	HT013102677; HT018400937	2053805-4
990115127090206441; 990188399760206441	HT013186936; HT016947972	2060983-8
990115346080206441; 990228568830206441	HT013209012; HT020048276	2062259-4
990115348050206441; 990210362100206441	HT013209209; HT018865152	2062459-1
990116300860206441; 990182384000206441	HT013305381; HT016538671	2074518-7
990116948780206441; 990187543010206441	HT013370955; HT016864566	2080402-7
990117331270206441; 99374990582306441	HT013409677	2084172-3
990118334340206441; 990202669670206441	HT013509473; HT018148623	2093233-9
990119386120206441; 990156767010206441	HT013615948; HT015062170	2103863-6
990119467960206441; 990159427230206441	HT013624222; HT015235200	2104602-5
990119554770206441; 990191424840206441	HT013633015; HT017234411	2105450-2
990120062870206441; 990219298780206441	HT013684462; HT019425864	2110070-6
990120065510206441; 990182818620206441	HT013684726; HT016580739	2110337-9
990120618020206441; 990190904220206441	HT013740661; HT017183102	2114622-6
990120790310206441; 990194762950206441	HT013758086; HT017561365	2116073-9
990121043250206441; 990193909660206441	HT013783693; HT017477812	2117828-8
990121362300206441; 990228722640206441	HT013815958; HT020063653	2121596-0
990121511680206441; 990188901020206441	HT013831067; HT016989826	2124189-2
990121512210206441; 990198528230206441	HT013831120; HT017788128	2124243-4
990121796270206441; 990177672770206441	HT013859837; HT016156281	2127075-2
990121944600206441; 990220513910206441	HT013874836; HT019545261	2129421-5
990102548170206441; 990208849250206441	HT012102264; HT018725586	213036-1
990124376580206441; 990227383810206441	HT013889376; HT019930423	2130498-1
990124803230206441; 990211159380206441	HT013932537; HT018945079	2135448-0
990124936970206441; 990191523060206441	HT013946080; HT017243901	2136248-8
990054837170206441; 990171127670206441	HT006911832; HT015670093	213943-1
990125253810206441; 990182553960206441	HT013978110; HT016555693	2139900-1
990125256910206441; 990218259480206441	HT013978420; HT019323252	2140211-5
990125257180206441; 990191927220206441	HT013978447; HT017283591	2140239-5
990125266440206441; 990182362550206441	HT013979373; HT016536579	2141187-6
990125318250206441; 990180601760206441	HT013984607; HT016366710	2141879-2
990125320200206441; 990190362050206441	HT013984802; HT017130616	2142078-6
990126240380206441; 990210009600206441	HT014011683; HT018831111	2143859-6
990131937300206441; 990170808490206441	HT014061667; HT015637699	2149210-4
990132863020206441; 990219695280206441	HT014155445; HT019464934	2150299-7
990054841690206441; 990220365750206441	HT006912420; HT019530453	215250-2
990132986220206441; 990209727090206441	HT014167865; HT018802664	2155446-8
990133009910206441; 990178952020206441	HT014170245; HT016277797	2157106-5
990133041220206441; 990219930970206441	HT014173376; HT019486886	2160490-3
990133046300206441; 990182430380206441	HT014173884; HT016543307	2161042-3
990133048440206441; 990368122120206441	HT014174098; HT020618841	2161285-7
990133058840206441; 990206029060206441	HT014175138; HT018465508	2162406-9
990133139500206441; 990178063730206441	HT014183262; HT016190580	2165687-3
990133143770206441; 990177666660206441	HT014183689; HT016155662	2166120-0
990133197990206441; 990171418760206441	HT014189204; HT015698910	2166301-4
990133203000206441; 990183208090206441	HT014189705; HT016619070	2166832-2
990133204940206441; 990187240990206441	HT014189899; HT016834920	2167042-0
990133205710206441; 990186943350206441	HT014189976; HT016805800	2167121-7
990133278540206441; 990228754090206441	HT014197379; HT020066806	2167815-7
990133351620206441; 990186917140206441	HT014204778; HT016803136	2168670-1
990133485390206441; 990186714840206441	HT014218324; HT016783710	2169571-4
990133487860206441; 990206607710206441	HT014218571; HT018518970	2169838-7
990133491640206441; 990207780700206441	HT014218949; HT018620115	2170232-9
990133554010206441; 990193430300206441	HT014225243; HT017431577	2170537-9
990133555330206441; 990187077100206441	HT014225375; HT016819189	2170679-7
990133924330206441; 990206716260206441	HT014262712; HT018529785	2174500-6
990133997420206441; 990164498440206441	HT014270128; HT015407119	2175340-4
990134065170206441; 990187791870206441	HT014276993; HT016888788	2176594-7
990134219950206441; 990217851700206441	HT014292676; HT019283788	2178393-7
