56. Schule - Oberschule der Stadt Leipzig	http://lobid.org/organisations/DBS-SF463#!
68. Schule - Oberschule der Stadt Leipzig	http://lobid.org/organisations/DBS-SF464#!
78. Schule - Grundschule der Stadt Leipzig	http://lobid.org/organisations/DBS-SF448#!
91. Schule - Grundschule der Stadt Leipzig	http://lobid.org/organisations/DBS-UL214#!
A D A C Bibliothek, Allgemeiner Deutscher Automobil-Club e.V., Zentrale	http://lobid.org/organisations/DE-M465#!
A. Paul Weber-Museum	http://lobid.org/organisations/DE-MUS-114312#!
Aargauer Kantonsbibliothek	http://lobid.org/organisations/CH-000050-X#!
Aartalmuseum Oberneisen	http://lobid.org/organisations/DE-MUS-107022#!
Abbe-Institut für Stiftungswesen, Bibliothek	http://lobid.org/organisations/DE-2890#!
Abbott GmbH & Co., Bibliothek	http://lobid.org/organisations/DE-Ln5#!
ABC-CLIO	http://lobid.org/organisations/ZDB-115-ABC#!
Abenteuermuseum	http://lobid.org/organisations/DE-4025#!
Abgeordnetenhaus von Berlin, Bibliothek und Dokumentation	http://lobid.org/organisations/DE-B785#!
Abgußsammlung antiker Plastik	http://lobid.org/organisations/DE-MUS-294611#!
Abkhazia Parliamentary Election 2017 [Nationallizenz / FID-Lizenz]	http://lobid.org/organisations/ZDB-1-AB17#!
ABLI	http://lobid.org/organisations/DE-4001#!
Abraham Geiger Kolleg, Bibliothek	http://lobid.org/organisations/DE-2377#!
Abt. für Stadtgeschichte und Volkskunde	http://lobid.org/organisations/DE-MUS-053712#!
Abt. für Vor- und Frühgeschichte und Völkerkunde	http://lobid.org/organisations/DE-MUS-053910#!
Abtei Gerleve, Bibliothek	http://lobid.org/organisations/DE-Ger1#!
Abtei Neuburg, Bibliothek	http://lobid.org/organisations/DE-He132#!
Abtei Rommersdorf	http://lobid.org/organisations/DE-MUS-313811#!
Abteimuseum	http://lobid.org/organisations/DE-MUS-375819#!
Academia E-Books	http://lobid.org/organisations/ZDB-181-NAB#!
AcademicOneFile	http://lobid.org/organisations/ZDB-9-AOF#!
Access Anesthesiology / EBooks	http://lobid.org/organisations/ZDB-168-MAAN#!
ACCESS e.V. - Materials + Processes, Bibliothek	http://lobid.org/organisations/DE-82-009#!
Access Emergency Medicine / EBooks	http://lobid.org/organisations/ZDB-168-MAEM#!
Access Engineering / EBooks	http://lobid.org/organisations/ZDB-168-MAE#!
Access HemOnc / EBooks	http://lobid.org/organisations/ZDB-168-MAH#!
Access Medicine / EBooks	http://lobid.org/organisations/ZDB-168-MAM#!
Access Neurology / EBooks	http://lobid.org/organisations/ZDB-168-MANL#!
Access Pharmacy / EBooks	http://lobid.org/organisations/ZDB-168-MAP#!
Access Surgery / EBooks	http://lobid.org/organisations/ZDB-168-MASY#!
Ackerbürger- und Bienenmuseum Reichenbach	http://lobid.org/organisations/DE-MUS-714016#!
Ackerbürgermuseum der+Stadt Grebenstein+'Haus Leck' und+'Alte Meierei'	http://lobid.org/organisations/DE-MUS-056711#!
Ackerbürgermuseum Gartz (Oder)	http://lobid.org/organisations/DE-MUS-999019#!
ACLS Humanities E-Book Project	http://lobid.org/organisations/ZDB-17-ACL#!
ACM Digital Library	http://lobid.org/organisations/ZDB-15-ACM#!
ACM Digital Library / ACM Books Collection I	http://lobid.org/organisations/ZDB-15-ACA#!
ACM Digital Library / ACM Books Collection II	http://lobid.org/organisations/ZDB-15-ACB#!
ACS Journals Read & Publish [Niedersachsen-Konsortium], American Chemical Society	http://lobid.org/organisations/ZDB-296-ACSJ#!
ACS Legacy Archives [Nationallizenz]	http://lobid.org/organisations/ZDB-1-ACS#!
Acsess Digital Library	http://lobid.org/organisations/ZDB-151-ADL#!
Acta Sanctorum Database [Nationallizenz]	http://lobid.org/organisations/ZDB-1-ATS#!
Adam Matthew Digital / Apartheid South Africa 1948-1980	http://lobid.org/organisations/ZDB-208-ASA#!
Adam Matthew Digital / Confidential Print: Africa, 1834-1966	http://lobid.org/organisations/ZDB-208-CAF#!
Adam Matthew Digital / Defining Gender	http://lobid.org/organisations/ZDB-208-DFG#!
