name	id
Schulbibliothek in der IGS Eschersheim	http://lobid.org/organisations/DBS-AA065#!
Schulbibliothek in der Michael-Grzimek-Schule	http://lobid.org/organisations/DBS-AA097#!
Schulbibliothek in der KGS Niederrad	http://lobid.org/organisations/DBS-AA076#!
Schulbibliothek in der Michael-Ende-Schule/Grundschule	http://lobid.org/organisations/DBS-AA094#!
Schulbibliothek in der Ludwig-Börne-Schule	http://lobid.org/organisations/DBS-AA086#!
Schulbibliothek in der IGS Nordend	http://lobid.org/organisations/DBS-AA068#!
Schulbibliothek in der Mosaikschule	http://lobid.org/organisations/DBS-AA098#!
Schulbibliothek in der Leibnizschule	http://lobid.org/organisations/DBS-AA079#!
Schulbibliothek in der Michael-Ende-Schule/Sekundarstufe	http://lobid.org/organisations/DBS-AA096#!
Schulbibliothek in der Ludwig-Erhard-Schule	http://lobid.org/organisations/DBS-AA087#!
Schulbibliothek in der IGS West	http://lobid.org/organisations/DBS-AA070#!
Schulbibliothek in der Musterschule	http://lobid.org/organisations/DBS-AA102#!
Schulbibliothek im Lessing-Gymnasium	http://lobid.org/organisations/DBS-AA080#!
Schulbibliothek in der Römerstadtschule	http://lobid.org/organisations/DBS-AA109#!
Schulbibliothek in der Ludwig-Richter-Schule	http://lobid.org/organisations/DBS-AA088#!
Schulbibliothek in der Karmeliterschule	http://lobid.org/organisations/DBS-AA072#!
Schulbibliothek in der Robert-Schumann-Schule	http://lobid.org/organisations/DBS-AA108#!
Schulbibliothek in der Liebigschule	http://lobid.org/organisations/DBS-AA082#!
Schulbibliothek in der Schule am Landgraben	http://lobid.org/organisations/DBS-AA111#!
Schulbibliothek in der Merianschule	http://lobid.org/organisations/DBS-AA093#!
Schulbibliothek in der Konrad-Haenisch-Schule	http://lobid.org/organisations/DBS-AA078#!
Schulbibliothek in der Valentin-Senger-Schule	http://lobid.org/organisations/DBS-AA116#!
Schulbibliothek in der Marie-Curie-Schule	http://lobid.org/organisations/DBS-AA090#!
Schulbibliothek in der Schule am Ried	http://lobid.org/organisations/DBS-AA113#!
Schulbibliothek in der Mühlbergschule	http://lobid.org/organisations/DBS-AA099#!
Schulbibliothek in der Viktor-Frankl-Schule	http://lobid.org/organisations/DBS-AA117#!
Schulbibliothek in der Toni-Sender-Oberstufe	http://lobid.org/organisations/DBS-AA103#!
Schulbibliothek in der Textorschule OPP	http://lobid.org/organisations/DBS-AA114#!
Schulbibliothek in der Münzenbergerschule	http://lobid.org/organisations/DBS-AA100#!
Schulbibliothek in der Panoramaschule	http://lobid.org/organisations/DBS-AA105#!
Schulbibliothek in der Weißfrauenschule	http://lobid.org/organisations/DBS-AA119#!
Schulbibliothek in der Paul-Hindemith-Schule	http://lobid.org/organisations/DBS-AA106#!
Schulbibliothek in der Otto-Hahn-Schule	http://lobid.org/organisations/DBS-AA104#!
Schulbibliothek in der Wöhlerschule	http://lobid.org/organisations/DBS-AA121#!
Schulbibliothek in der Willemerschule	http://lobid.org/organisations/DBS-AA120#!
Schulbibliothek in der Schule am Mainbogen	http://lobid.org/organisations/DBS-AA112#!
Schulbibliothek in der Schillerschule	http://lobid.org/organisations/DBS-AA110#!
Schulbibliothek in der Ziehenschule	http://lobid.org/organisations/DBS-AA122#!
Schulbibliothek in der Viktoria-Luise-Schule	http://lobid.org/organisations/DBS-AA118#!
Schulbibliothek in der Judith-Kerr-Schule 	http://lobid.org/organisations/DBS-AA123#!
Schulbibliothek in der Johanna-Tesch-Schule	http://lobid.org/organisations/DBS-AA124#!
Schul- und Gemeindebücherei Aarbergen Aartalschule	http://lobid.org/organisations/DBS-AA653#!
Marienschule - Schülerbücherei	http://lobid.org/organisations/DBS-AA611#!
Patientenbücherei in der Hunsrück Klinik der Kreuznacher Diakonie	http://lobid.org/organisations/DBS-AA600#!
Ortsbücherei Südstadt	http://lobid.org/organisations/DBS-AA612#!
Kinderbücherei Ober Kostenz	http://lobid.org/organisations/DBS-AA601#!
Ev. Öffentliche Bücherei der Kirchengemeinde Erda-Großaltenstädten	http://lobid.org/organisations/DBS-AA603#!
Bücherei Freiherr-vom-Stein Schule Nassau	http://lobid.org/organisations/DBS-AB002#!
St.Ursula Schule - Schülerbücherei	http://lobid.org/organisations/DBS-AA607#!
Kinder- und Jugendbücherei Eppstein St.Michael	http://lobid.org/organisations/DBS-AA608#!
Mediothek der Grundschule Aßlar	http://lobid.org/organisations/DBS-AB558#!
Ökumenische Kinder- und Jugendbücherei Niederjosbach St.Michael	http://lobid.org/organisations/DBS-AA609#!
Mediothek der Grundschule Braunfels-Bonbaden	http://lobid.org/organisations/DBS-AB561#!
Schulbibliothek St.-Willibrord-Gymnasium	http://lobid.org/organisations/DBS-AB001#!
Schulbücherei Jung-Stilling-Schule Dietzhölztal-Ewersbach	http://lobid.org/organisations/DBS-AB564#!
Mediothek der Grundschule Dietzhölztal-Mandeln	http://lobid.org/organisations/DBS-AB566#!
Schulbücherei der Aartalschule Bischoffen-Niederweidbach	http://lobid.org/organisations/DBS-AB559#!
Tausendbüchlerei der Rotebergschule Dillenburg	http://lobid.org/organisations/DBS-AB568#!
Mediothek der Grundschule Braunfels-Philippstein	http://lobid.org/organisations/DBS-AB562#!
Schülerbücherei der Liliensternschule Dillenburg-Donsbach	http://lobid.org/organisations/DBS-AB569#!
Mediothek der Eschenburgschule Standort Eiershausen	http://lobid.org/organisations/DBS-AB575#!
Mediothek der Grundschule Braunfeld-Tiefenbach	http://lobid.org/organisations/DBS-AB563#!
Schülerbücherei Grundschule Dillenburg-Nanzenbach	http://lobid.org/organisations/DBS-AB572#!
Schülerbücherei der Grundschule Haiger	http://lobid.org/organisations/DBS-AB581#!
Mediothek der Juliane-von-Stolberg-Schule Dillenburg	http://lobid.org/organisations/DBS-AB567#!
Schülerbücherei der Eschenburgschule Eschenburg Standort Eibelshausen	http://lobid.org/organisations/DBS-AB574#!
Mediothek der Goldbachschule und der Schule am Brunnen Frohnhausen	http://lobid.org/organisations/DBS-AB570#!
Mediothek 'Leseschloss' der Schloss-Schule	http://lobid.org/organisations/DBS-AB560#!
Mediothek der Dernbachschule Herborn-Seelbach	http://lobid.org/organisations/DBS-AB586#!
Mediothek Grundschule Dillenburg-Manderbach	http://lobid.org/organisations/DBS-AB571#!
Mediothek der Grundschule Eschenburg-Simmersbach	http://lobid.org/organisations/DBS-AB577#!
Mediothek der Nassau-Oranien-Schule Greifenstein-Beilstein	http://lobid.org/organisations/DBS-AB580#!
Mediothek der Jung-Stilling-Schule Standort Rittershausen	http://lobid.org/organisations/DBS-AB565#!
Mediothek der Pestalozzischule Herborn-Schönbach	http://lobid.org/organisations/DBS-AB587#!
Schülerbücherei der Chattenbergschule Ehringshausen-Katzenfurt	http://lobid.org/organisations/DBS-AB573#!
Mediothek 'Leseparadies' der Grundschule Leun	http://lobid.org/organisations/DBS-AB591#!
Schülerbücherei der Grundschule Haiger-Langenaubach	http://lobid.org/organisations/DBS-AB582#!
Schmökerbude der Herbert-Hoover-Schule Eschenburg-Hirzenhain	http://lobid.org/organisations/DBS-AB576#!
Schülerbibliothek der Grundschule Hüttenberg-Rechtenbach	http://lobid.org/organisations/DBS-AB589#!
Leseparadies der Grundschule Ulmtal Greifenstein-Allendorf	http://lobid.org/organisations/DBS-AB579#!
Mediothek der Grundschule Solms-Oberbiel	http://lobid.org/organisations/DBS-AB594#!
Mediothek 'Land der 1000 Bücher' der  Ambachtalschule Herborn-Burg	http://lobid.org/organisations/DBS-AB585#!
Mediothek der Grundschule Eschenburg-Wissenbach	http://lobid.org/organisations/DBS-AB578#!
Mediothek der Astrid-Lindgren-Schule Solms-Oberndorf	http://lobid.org/organisations/DBS-AB595#!
Mediothek der Grundschule Roßbachtal Haiger-Roßbachtal	http://lobid.org/organisations/DBS-AB583#!
Bücherparadies der  Geschwister-Scholl-Schule Niedergirmes	http://lobid.org/organisations/DBS-AB598#!
Schulbücherei der Dalheimschule Wetzlar	http://lobid.org/organisations/DBS-AB597#!
Mediothek der Grundschule Haiger-Sechshelden	http://lobid.org/organisations/DBS-AB584#!
