key	doc_count
Practice Guideline	110
Diagramm	109
Oratorios.	109
Toccatas.	109
Collected Works	108
Pictorial works.	108
Poetry.	108
Television films.	108
Laudatio	107
Variations (Music)	107
Abstracts.	104
Academic theses.	102
Catalogs.	102
Predigt	102
Sammlung	102
Kinderbücher bis 11 Jahre	101
Krimis, Thriller, Spionage	101
Austellung	100
Ballets (Music)	100
Einführung	100
Reportagensammlung	100
Czasopismo ekonomiczne.	99
Congressos	98
Directories.	98
Carols.	94
Handbooks, manuals, etc.	94
Kommentar: jur.	93
Databases.	92
Quelle.	91
Intabulations.	90
Leichenpredigt	90
Waltzes (Music)	90
Evening service music.	89
Aufgabensammlung.	88
Filmografie	88
Jugendbücher ab 12 Jahre	88
Küste	88
Wörterbuch	86
Czasopismo historyczne.	85
Trials, litigation, etc.	85
Beispielsammlung.	84
Conference papers and proceedings	84
Partitur	83
Satzung	83
Canzonas (Instrumental music)	82
Päpstliche Verlautbarung	82
Czasopismo o sztuce.	81
Interviews.	81
Czasopismo literaturoznawcze.	79
Czasopismo prawnicze.	78
Kommentar.	77
Essays	76
Military history.	76
Traktat	76
Internet resources.	75
Publications en série.	74
Allemandes (Music)	72
Schematismus	72
Erzählerische Bilderbücher	70
Erzählerische Bilderbücher	70
Streitschrift: theol.	70
Chronik	69
Thèses et écrits académiques.	69
Czasopismo pedagogiczne.	68
Newsletters.	68
Diskografie	67
Personal Narratives	67
Digests.	66
Einführung.	66
Online-Ressource.	66
Instructional films.	65
Marches (Music)	65
Ricercars.	65
Essays.	64
Internet videos	64
Song cycles.	62
Studies (Music)	62
e-books.	62
Bibliography.	61
DVD-Audio	60
Film clips.	60
Kochbuch.	60
serials (publications)	60
Classification.	59
Drama	59
Personal correspondence.	59
Festschriften.	58
Folklore.	57
Livres numériques.	57
Folk songs.	56
Gesamtdarstellungen	56
Indexes.	56
Pavans (Music)	56
Art.	55
Conductus.	55
Guideline	55
Dissertation: phil.	54
Filmed lectures.	54
Courantes (Music)	53
Fallstudie	53
Biographies	52
Encyclopedias.	52
Romanhafte Biographien	52
Silent films.	52
Broadsides	51
Elektronische Publikation.	51
Handbuch	51
Libros electrónicos	51
Nonfiction films.	51
Villanelle (Songs)	51
Belagerung	50
Bilderbuch.	50
Comic, Cartoon, Humor, Satire	50
Feature Films.	50
Dissertation	49
Einführung.	49
Instrumental settings.	49
Lernprogramm	49
Literary criticism.	49
Sarabandes (Music)	49
Textbooks.	49
Vocalises.	49
Bibliography	48
Canticles.	48
Minuets (Music)	48
Stimme, Musikalische Ausgabeform	48
Terminology	48
Graphzine	47
Problems and Exercises	47
Historical fiction.	46
Juvenile works.	46
MAG (Magazine/Journal)	46
Elektronische Ressource	45
Katechismus	45
Nurses' Instruction	45
Reference works.	45
Comic.	44
Biografie.	43
Erbauungsliteratur	43
Paris <1990>	43
Piano scores.	43
Wörterbuch.	43
Ausstellung.	42
Commentaries.	42
Jigs (Dance music)	42
Paris <1989>	42
Records and correspondence.	42
Berlin <1991>	41
Paris <1986>	41
Berlin <West, 1984>	40
Bodenbelastung	40
Erzählende Literatur: Gegenwartsliteratur ab 1945	40
Fernsehserie	40
Law commentaries.	40
Rondeaux (Formes fixes)	40
Airs de cour.	39
Bilderbogen	39
Blindendruck	39
Guidebooks.	39
Paris <1985>	39
series.	39
Czasopismo społeczno-polityczne.	38
Manuscripts.	38
Architectural drawings.	37
